team,mlbam_id,player_name,player_type,mlb_team,weeks_active,runs,home_runs,rbi,stolen_bases,at_bats,hits,walks,hit_by_pitch,sac_flies,obp,wins,strikeouts,saves,innings_pitched,outs_pitched,earned_runs,hits_allowed,walks_allowed,era,whip
Rob,642547,Freddy Peralta,pitcher,NYM,8,0,0,0,0,0,0,0,0,0,0.0,3,54,0,54.1,163,20,43,25,3.31,1.25
Rob,701538,Jackson Merrill,hitter,SD,8,23,4,19,8,170,35,15,1,0,0.274,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,666200,Jesus Luzardo,pitcher,PHI,8,0,0,0,0,0,0,0,0,0,0.0,3,61,0,49.2,149,29,53,13,5.26,1.33
Rob,666176,Jo Adell,hitter,LAA,8,16,6,27,2,180,47,7,6,2,0.308,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,667755,Jose Soriano,pitcher,LAA,8,0,0,0,0,0,0,0,0,0,0.0,6,67,0,59.2,179,16,38,26,2.41,1.07
Rob,807712,Luke Keaschall,hitter,MIN,8,21,1,15,10,164,39,19,2,2,0.321,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,669022,MacKenzie Gore,pitcher,TEX,8,0,0,0,0,0,0,0,0,0,0.0,3,53,0,48.0,144,24,38,22,4.5,1.25
Rob,656305,Matt Chapman,hitter,SF,8,17,1,16,0,176,38,18,2,0,0.296,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,665833,Oneil Cruz,hitter,PIT,8,35,10,32,16,189,49,16,2,0,0.324,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,694973,Paul Skenes,pitcher,PIT,8,0,0,0,0,0,0,0,0,0,0.0,6,63,0,55.0,165,17,32,8,2.78,0.73
Rob,624133,Ranger Suarez,pitcher,BOS,8,0,0,0,0,0,0,0,0,0,0.0,2,40,0,44.1,133,12,31,11,2.44,0.95
Rob,642715,Willy Adames,hitter,SF,8,17,3,13,1,189,45,7,1,0,0.269,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,650490,Yandy Diaz,hitter,TB,8,22,7,27,1,166,49,16,6,1,0.376,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,592332,Kevin Gausman,pitcher,TOR,6,0,0,0,0,0,0,0,0,0,0.0,3,32,0,45.1,136,22,49,9,4.37,1.28
Rob,596019,Francisco Lindor,hitter,NYM,5,14,2,5,2,93,21,11,1,0,0.314,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,666971,Lourdes Gurriel Jr.,hitter,AZ,5,7,1,9,1,79,18,8,0,1,0.295,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,687363,Victor Scott II,hitter,STL,5,10,2,4,4,70,10,7,1,0,0.231,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,667670,Brent Rooker,hitter,ATH,3,4,2,8,2,41,6,6,0,2,0.245,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,665742,Juan Soto,hitter,NYM,3,3,1,5,0,31,11,3,0,0,0.412,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,575929,Willson Contreras,hitter,BOS,3,7,3,6,1,59,15,6,3,2,0.343,0,0,0,0.0,0,0,0,0,0.0,0.0
Rob,690990,Cade Horton,pitcher,CHC,2,0,0,0,0,0,0,0,0,0,0.0,1,4,0,7.1,22,2,4,2,2.45,0.82
Wendell,592450,Aaron Judge,hitter,NYY,8,38,16,30,5,164,45,36,2,0,0.411,0,0,0,0.0,0,0,0,0,0.0,0.0
Wendell,681624,Andy Pages,hitter,LAD,8,27,10,41,6,173,52,13,2,2,0.353,0,0,0,0.0,0,0,0,0,0.0,0.0
