mlbam_id,player_name,team,weekly_pa,weekly_ab,weekly_r,weekly_hr,weekly_rbi,weekly_sb,weekly_h,weekly_bb,weekly_hbp,weekly_sf,weekly_obp,weekly_ip,weekly_w,weekly_sv,weekly_k,weekly_er,weekly_pitch_h,weekly_pitch_bb,weekly_era,weekly_whip
702275,JR Ritchie,ATL,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,1,0,0.00,1.00
695506,Jac Caglianone,KC,12,12,2,1,2,0,4,0,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
676263,Jack Dreyer,LAD,0,0,0,0,0,0,0,0,0,0,0.000,1.2,1,0,2,0,3,0,0.00,1.80
694192,Jackson Chourio,MIL,14,11,4,0,2,2,2,2,1,0,0.357,0.0,0,0,0,0,0,0,0.00,0.00
702616,Jackson Holliday,BAL,9,7,1,0,0,0,1,2,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
701538,Jackson Merrill,SD,15,15,2,2,4,1,4,0,0,0,0.267,0.0,0,0,0,0,0,0,0.00,0.00
694378,Jacob Gonzalez,PIT,13,13,3,2,5,0,5,0,0,0,0.385,0.0,0,0,0,0,0,0,0.00,0.00
656641,Jacob Latz,TEX,0,0,0,0,0,0,0,0,0,0,0.000,1.2,0,1,2,0,0,0,0.00,0.00
682052,Jacob Lopez,ATH,0,0,0,0,0,0,0,0,0,0,0.000,4.1,0,0,6,2,2,2,4.15,0.92
621097,Jacob Waguespack,DET,0,0,0,0,0,0,0,0,0,0,0.000,0.2,0,0,1,0,1,2,0.00,4.50
657097,Jacob Webb,CHC,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,3,0,0.00,3.00
805779,Jacob Wilson,ATH,14,14,4,1,3,0,6,0,0,0,0.429,0.0,0,0,0,0,0,0,0.00,0.00
696285,Jacob Young,WSH,10,7,2,0,1,2,2,2,1,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
663330,Jahmai Jones,BOS,6,5,2,1,2,0,2,1,0,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
641343,Jake Bauers,MIL,12,10,0,0,0,0,0,2,0,0,0.167,0.0,0,0,0,0,0,0,0.00,0.00
687562,Jake Bennett,BOS,0,0,0,0,0,0,0,0,0,0,0.000,6.0,1,0,3,0,1,1,0.00,0.33
656234,Jake Bird,NYY,0,0,0,0,0,0,0,0,0,0,0.000,0.2,0,0,2,10,8,4,135.00,18.00
669394,Jake Burger,TEX,14,14,0,0,1,0,3,0,0,0,0.214,0.0,0,0,0,0,0,0,0.00,0.00
630105,Jake Cronenworth,SD,8,8,1,0,0,0,2,0,0,0,0.250,0.0,0,0,0,0,0,0,0.00,0.00
663968,Jake Mangum,PIT,20,20,0,0,1,0,3,0,0,0,0.150,0.0,0,0,0,0,0,0,0.00,0.00
664983,Jake McCarthy,COL,13,12,3,0,2,2,4,0,1,0,0.385,0.0,0,0,0,0,0,0,0.00,0.00
668670,Jake Rogers,DET,3,2,0,0,0,0,0,1,0,0,0.333,0.0,0,0,0,0,0,0,0.00,0.00
596001,Jakob Junis,TEX,0,0,0,0,0,0,0,0,0,0,0.000,0.2,0,0,1,0,1,0,0.00,1.50
805300,Jakob Marsee,MIA,7,7,0,0,0,0,1,0,0,0,0.143,0.0,0,0,0,0,0,0,0.00,0.00
543510,James McCann,AZ,4,4,0,0,1,0,1,0,0,0,0.250,0.0,0,0,0,0,0,0,0.00,0.00
681546,James Outman,DET,7,7,2,0,0,1,2,0,0,0,0.286,0.0,0,0,0,0,0,0,0.00,0.00
695578,James Wood,WSH,16,15,2,0,2,0,1,1,0,0,0.125,0.0,0,0,0,0,0,0,0.00,0.00
683003,Jared Jones,PIT,0,0,0,0,0,0,0,0,0,0,0.000,10.0,2,0,18,2,6,2,1.80,0.80
669707,Jared Triolo,PIT,8,6,1,0,0,0,3,2,0,0,0.625,0.0,0,0,0,0,0,0,0.00,0.00
676724,Jared Young,NYM,6,3,1,0,0,0,0,2,1,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
680776,Jarren Duran,BOS,15,13,2,0,3,0,1,1,0,1,0.133,0.0,0,0,0,0,0,0,0.00,0.00
